name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
V Kohli,IND,52.73,137.96,0.163,4.421,0.29,0.037,17.589,0.364,72.746,Best
RG Sharma,IND,31.32,139.24,0.192,3.786,0.121,0.071,9.779,0.264,43.61,Best
MJ Guptill,NZ,31.81,135.7,0.185,4.085,0.059,0.025,10.653,0.203,43.166,Best
Babar Azam,PAK,41.48,128.4,0.156,4.327,0.143,0.051,17.173,0.367,53.26,Best
PR Stirling,IRE,28.63,135.83,0.206,3.977,0.085,0.1,8.415,0.192,38.888,Best
AJ Finch,AUS,34.28,142.53,0.198,4.214,0.117,0.078,11.01,0.223,48.859,Best
DA Warner,AUS,32.88,141.3,0.195,4.04,0.111,0.061,10.949,0.263,46.459,Best
Mohammad Rizwan,PAK,49.07,127.3,0.144,4.342,0.219,0.041,18.918,0.37,62.466,Best
JC Buttler,ENG,35.01,144.66,0.189,3.61,0.21,0.06,10.88,0.22,50.645,Best
Mohammad Hafeez,PAK,26.46,122.03,0.159,3.028,0.12,0.065,9.759,0.13,32.289,Best
KS Williamson,NZ,33.29,123.01,0.143,3.376,0.129,0.047,14.141,0.2,40.95,Best
EJG Morgan,ENG,28.58,136.17,0.17,2.86,0.196,0.028,9.29,0.131,38.917,Best
Shoaib Malik,PAK,31.21,125.64,0.137,2.387,0.297,0.018,11.144,0.081,39.212,Best
Shakib Al Hasan,BAN,23.82,122.4,0.15,2.517,0.138,0.069,9.603,0.103,29.156,Good
Q de Kock,SA,32.52,137.33,0.194,4.063,0.114,0.076,10.392,0.203,44.66,Best
KL Rahul,IND,37.75,139.12,0.178,4.265,0.118,0.074,13.338,0.382,52.518,Best
DA Miller,SA,34.09,144.64,0.165,2.556,0.343,0.01,10.02,0.101,49.308,Best
GJ Maxwell,AUS,28.4,150.97,0.197,3.133,0.156,0.033,9.1,0.178,42.875,Best
BB McCullum,NZ,35.66,136.21,0.185,4.143,0.143,0.043,11.4,0.243,48.572,Best
Mahmudullah,BAN,23.57,117.3,0.124,1.991,0.204,0.035,9.681,0.053,27.648,Good
AD Hales,ENG,30.95,138.35,0.197,3.933,0.107,0.067,10.053,0.187,42.819,Best
A Balbirnie,IRE,23.45,125.29,0.168,3.0,0.044,0.055,9.154,0.11,29.381,Good
RD Berrington,SCOT,32.77,132.46,0.16,3.182,0.195,0.117,11.87,0.156,43.407,Best
Mohammad Shahzad,AFG,30.07,133.62,0.199,4.286,0.043,0.057,9.5,0.2,40.18,Best
KJ O'Brien,IRE,21.21,130.92,0.164,2.398,0.097,0.117,7.971,0.068,27.768,Good
JP Duminy,SA,38.68,126.24,0.136,2.787,0.333,0.08,12.747,0.147,48.83,Best
LRPL Taylor,NZ,26.15,122.37,0.123,2.043,0.223,0.064,10.628,0.074,32.0,Best
CH Gayle,WI,27.92,137.5,0.204,3.76,0.093,0.053,6.973,0.24,38.39,Best
DJ Malan,ENG,36.38,132.49,0.179,4.267,0.133,0.033,12.4,0.3,48.2,Best
TM Dilshan,SL,28.19,120.54,0.163,3.241,0.152,0.127,10.114,0.19,33.98,Best
SA Yadav,IND,46.02,172.7,0.253,5.4,0.2,0.06,11.06,0.42,79.477,Best
Mohammad Nabi,AFG,22.25,137.94,0.165,2.158,0.188,0.059,7.594,0.05,30.692,Best
Virandeep Singh,MAL,35.74,127.3,0.168,4.017,0.15,0.067,11.783,0.217,45.497,Best
S Dhawan,IND,27.92,126.36,0.173,3.652,0.045,0.03,10.53,0.167,35.28,Best
Tamim Iqbal,BAN,24.08,116.96,0.155,2.987,0.064,0.077,9.436,0.115,28.164,Good
C Munro,NZ,31.34,156.44,0.217,3.855,0.113,0.081,8.935,0.274,49.028,Best
Najibullah Zadran,AFG,31.7,139.75,0.168,2.452,0.357,0.048,8.405,0.095,44.301,Best
Umar Akmal,PAK,26.0,122.73,0.129,2.241,0.177,0.127,11.038,0.101,31.91,Best
S Ssesazi,UGA,31.18,123.0,0.172,3.852,0.115,0.115,10.393,0.246,38.351,Best
HG Munsey,SCOT,29.92,143.0,0.229,4.467,0.067,0.083,7.9,0.217,42.786,Best
AB de Villiers,SA,26.12,135.16,0.162,2.667,0.147,0.067,10.027,0.133,35.304,Best
Litton Das,BAN,23.52,130.87,0.175,3.097,0.014,0.056,9.417,0.139,30.781,Best
H Masakadza,ZIM,25.96,117.2,0.152,3.273,0.03,0.015,10.121,0.167,30.425,Best
N Pooran,WI,25.96,132.0,0.171,2.986,0.111,0.028,8.417,0.139,34.267,Best
MDKJ Perera,SL,27.66,130.7,0.163,3.339,0.032,0.016,11.645,0.21,36.152,Best
RR Hendricks,SA,31.63,130.55,0.175,4.17,0.019,0.038,13.151,0.264,41.293,Best
MS Dhoni,IND,37.6,126.13,0.131,1.976,0.494,0.012,9.894,0.024,47.425,Best
MN Samuels,WI,29.29,116.23,0.154,3.277,0.154,0.0,9.554,0.154,34.044,Best
MP O'Dowd,NED,29.98,122.13,0.156,3.561,0.07,0.0,12.333,0.228,36.615,Best
KA Pollard,WI,25.3,135.14,0.166,2.325,0.253,0.036,7.217,0.072,34.19,Best
GD Phillips,NZ,32.47,145.56,0.175,3.339,0.143,0.036,11.696,0.232,47.263,Best
F du Plessis,SA,35.53,134.38,0.167,3.8,0.14,0.0,13.36,0.24,47.745,Best
LMP Simmons,WI,26.78,120.8,0.165,3.104,0.149,0.09,8.343,0.134,32.35,Best
JJ Roy,ENG,24.15,137.61,0.201,3.469,0.016,0.109,7.75,0.125,33.233,Best
JM Bairstow,ENG,29.64,137.57,0.184,3.156,0.203,0.078,8.906,0.156,40.776,Best
Mushfiqur Rahim,BAN,19.48,115.03,0.125,1.753,0.172,0.086,8.323,0.065,22.408,Good
Syed Aziz,MAL,30.57,144.87,0.207,3.508,0.197,0.082,8.23,0.197,44.287,Best
KJ Coetzer,SCOT,22.65,119.21,0.164,3.029,0.029,0.059,8.456,0.088,27.001,Good
DPMD Jayawardene,SL,31.76,133.18,0.184,3.745,0.145,0.073,10.964,0.2,42.298,Best
SC Williams,ZIM,24.29,125.38,0.149,2.588,0.103,0.059,10.382,0.147,30.455,Best
Ahmed Shehzad,PAK,25.8,114.74,0.148,3.22,0.034,0.034,10.932,0.153,29.603,Good
E Lewis,WI,29.89,151.97,0.227,4.212,0.058,0.077,7.058,0.269,45.424,Best
SR Watson,AUS,29.24,145.32,0.197,3.536,0.107,0.054,9.0,0.214,42.492,Best
TP Ura,PNG,35.29,157.28,0.21,4.021,0.146,0.083,10.438,0.292,55.504,Best
Fakhar Zaman,PAK,21.71,128.17,0.171,2.768,0.043,0.087,8.304,0.116,27.826,Good
Shahid Afridi,PAK,17.92,150.0,0.186,1.934,0.132,0.088,6.22,0.044,26.88,Good
CO Obuya,KENYA,31.7,116.63,0.135,2.945,0.2,0.055,11.436,0.109,36.972,Best
Asghar Afghan,AFG,21.93,110.82,0.125,2.294,0.074,0.074,9.118,0.059,24.303,Good
KC Sangakkara,SL,31.4,119.55,0.138,3.0,0.17,0.038,13.321,0.151,37.539,Best
MD Shanaka,SL,20.78,121.82,0.148,1.976,0.217,0.12,6.735,0.06,25.314,Good
HH Pandya,IND,25.43,139.83,0.171,2.324,0.254,0.042,7.746,0.042,35.559,Best
MS Chapman,HKG/NZ,30.9,132.76,0.162,3.057,0.189,0.057,11.0,0.17,41.023,Best
Muhammad Waseem,UAE,44.03,150.97,0.21,5.75,0.062,0.062,12.781,0.469,66.472,Best
MR Marsh,AUS,33.47,133.19,0.171,3.468,0.191,0.043,10.936,0.17,44.579,Best
II Selemani,TAN,27.63,160.47,0.274,4.34,0.08,0.1,5.14,0.14,44.338,Best
BKG Mendis,SL,23.96,133.68,0.168,2.909,0.036,0.091,9.273,0.218,32.03,Best
GC Wilson,IRE,21.13,104.62,0.106,1.882,0.118,0.059,10.529,0.044,22.106,Good
Sikandar Raza,ZIM,20.98,128.86,0.149,2.317,0.048,0.095,9.222,0.095,27.035,Good
DJ Bravo,WI,22.01,115.03,0.117,1.73,0.23,0.068,8.554,0.054,25.318,Good
Ahmed Faiz,MAL,29.13,125.8,0.15,3.041,0.122,0.061,11.408,0.143,36.646,Best
DP Conway,NZ,41.6,129.05,0.156,3.974,0.211,0.0,15.263,0.237,53.685,Best
BN Cooper,NED,28.15,124.77,0.157,2.836,0.2,0.127,9.8,0.164,35.123,Best
Soumya Sarkar,BAN,17.56,122.42,0.167,2.292,0.042,0.153,6.389,0.069,21.497,Good
NLTC Perera,SL,23.15,151.63,0.191,2.054,0.297,0.108,6.324,0.041,35.102,Best
R Satheesan,ROM,38.61,155.45,0.236,5.056,0.139,0.056,9.639,0.25,60.019,Best
Yuvraj Singh,IND,28.02,136.38,0.175,2.961,0.176,0.02,8.333,0.157,38.214,Best
KP Pietersen,ENG,37.93,141.51,0.182,4.194,0.139,0.028,14.111,0.194,53.675,Best
S Davizi,CZK-R,41.03,138.93,0.198,5.29,0.097,0.032,13.323,0.387,57.003,Best
AD Mathews,SL,25.51,117.74,0.114,1.762,0.286,0.016,9.968,0.079,30.035,Best
Nizakat Khan,HKG,19.23,118.97,0.142,2.288,0.0,0.102,9.034,0.085,22.878,Good
RR Patel,KENYA,29.86,137.74,0.178,2.882,0.255,0.039,8.137,0.118,41.129,Best
A Vala,PNG,26.66,120.17,0.147,2.686,0.176,0.0,9.882,0.137,32.037,Best
TL Seifert,NZ,27.07,136.86,0.179,3.085,0.128,0.064,9.064,0.17,37.048,Best
MM Ali,ENG,21.74,143.83,0.187,2.149,0.239,0.134,6.164,0.104,31.269,Best
R Sandaruwan,KUW,32.52,147.27,0.213,4.444,0.056,0.139,9.556,0.222,47.892,Best
DS Airee,NEP,35.58,132.25,0.146,3.128,0.205,0.0,14.026,0.179,47.055,Best
VP Thamotharam,MLT,26.11,146.46,0.194,2.959,0.143,0.041,7.939,0.163,38.241,Best
R Powell,WI,25.16,139.61,0.169,2.472,0.189,0.038,7.887,0.113,35.126,Best
Jatinder Singh,OMA,25.06,116.66,0.14,2.58,0.14,0.06,10.4,0.1,29.235,Good
Riazat Ali Shah,UGA,35.83,129.2,0.153,2.953,0.302,0.07,10.86,0.093,46.292,Best
HE van der Dussen,SA,34.54,129.19,0.14,2.974,0.205,0.026,13.103,0.179,44.622,Best
DJ Mitchell,NZ,24.86,137.22,0.142,2.094,0.189,0.038,10.245,0.094,34.113,Best
LD Chandimal,SL,19.66,103.6,0.109,1.836,0.115,0.0,9.344,0.098,20.368,Good
HT Tector,IRE,21.77,120.66,0.12,1.793,0.172,0.034,9.914,0.052,26.268,Good
Afif Hossain,BAN,21.3,120.27,0.126,1.879,0.155,0.103,9.276,0.052,25.618,Good
SS Iyer,IND,30.67,135.98,0.166,2.822,0.244,0.089,10.022,0.156,41.705,Best
Rahmanullah Gurbaz,AFG,24.25,134.58,0.185,3.326,0.0,0.093,8.116,0.116,32.636,Best
AR Patwa,TAN,28.08,127.95,0.195,3.854,0.098,0.073,8.171,0.122,35.928,Best
MH Cross,SCOT,22.56,115.59,0.145,2.407,0.148,0.093,8.667,0.093,26.077,Good
Samiullah Shinwari,AFG,22.02,118.06,0.132,2.018,0.179,0.036,8.696,0.036,25.997,Good
LJ Tucker,IRE,21.55,123.53,0.144,2.145,0.145,0.109,8.927,0.109,26.621,Good
Hazratullah Zazai,AFG,28.77,133.2,0.204,4.053,0.079,0.079,7.289,0.132,38.322,Best
Rohan Mustafa,UAE,20.95,121.64,0.163,2.547,0.094,0.132,7.774,0.075,25.484,Good
Razmal Shigiwal,Aut,33.0,136.55,0.166,3.429,0.143,0.057,12.343,0.171,45.062,Best
J Charles,WI,22.97,129.15,0.195,3.465,0.0,0.116,7.023,0.14,29.666,Good
Kamran Akmal,PAK,21.0,119.63,0.159,2.472,0.113,0.132,7.566,0.094,25.122,Good
RR Pant,IND,22.43,126.37,0.157,2.196,0.214,0.054,7.518,0.054,28.345,Good
CL White,AUS,32.8,132.97,0.155,2.614,0.318,0.068,9.909,0.114,43.614,Best
GC Smith,SA,31.67,127.53,0.194,4.515,0.061,0.03,10.121,0.152,40.389,Best
MG Erasmus,NAM,32.63,127.97,0.145,2.846,0.231,0.051,11.872,0.231,41.757,Best
BA King,WI,27.91,129.57,0.19,3.763,0.079,0.079,8.711,0.184,36.163,Best
Sabbir Rahman,BAN,23.26,119.29,0.148,2.574,0.106,0.064,9.255,0.085,27.747,Good
Shaiman Anwar,UAE,33.48,126.1,0.153,3.688,0.094,0.031,12.906,0.25,42.218,Best
Babar Hayat,HKG,26.88,123.78,0.147,2.738,0.143,0.095,9.857,0.167,33.272,Best
Zeeshan Maqsood,OMA,30.0,120.6,0.168,3.436,0.179,0.077,9.179,0.154,36.18,Best
Muhammad Tanveer,QAT,39.75,133.98,0.171,3.697,0.273,0.03,10.727,0.212,53.257,Best
O Tuyisenge,RWN,19.46,112.1,0.152,2.481,0.058,0.154,7.615,0.077,21.815,Good
ADS Fletcher,WI,21.11,111.37,0.137,2.25,0.135,0.135,7.308,0.115,23.51,Good
BRM Taylor,ZIM,23.94,118.22,0.148,2.6,0.133,0.111,9.289,0.133,28.302,Good
G Gambhir,IND,27.41,119.02,0.152,3.306,0.056,0.056,12.111,0.194,32.623,Best
W Madhevere,ZIM,21.39,120.73,0.157,2.553,0.085,0.106,8.894,0.149,25.824,Good
SJ Myburgh,NED,21.78,114.51,0.16,2.909,0.045,0.182,7.886,0.114,24.94,Good
JW Jenner,JER,29.03,124.48,0.141,2.615,0.205,0.051,10.974,0.128,36.137,Best
SO Hetmyer,WI,21.4,119.23,0.139,2.283,0.087,0.065,8.413,0.109,25.515,Good
E Chigumbura,ZIM,19.0,140.62,0.18,2.036,0.161,0.107,5.911,0.054,26.718,Good
JE Root,ENG,35.72,126.3,0.153,3.6,0.167,0.067,14.3,0.167,45.114,Best
Muhammad Usman,UAE,24.08,114.52,0.129,2.326,0.14,0.07,10.163,0.07,27.576,Good
IA Karim,KENYA,30.62,101.36,0.11,2.4,0.275,0.05,11.95,0.15,31.036,Best
G Malla,NEP,23.23,120.29,0.153,2.872,0.026,0.026,9.308,0.103,27.943,Good
RP Burl,ZIM,25.94,117.75,0.126,1.774,0.358,0.019,8.113,0.038,30.544,Best
Zubaidi Zulkifle,MAL,23.72,157.06,0.242,3.462,0.051,0.128,6.256,0.077,37.255,Best
K Motlhanka,BOT,29.93,113.76,0.148,3.424,0.121,0.03,11.515,0.182,34.048,Best
AP Rajeevan,TAN,28.7,117.78,0.138,2.806,0.167,0.0,11.806,0.167,33.803,Best
E Dusingizimana,RWN,20.33,115.09,0.166,2.795,0.045,0.091,6.818,0.068,23.398,Good
GJ Delany,IRE,19.38,130.82,0.158,1.943,0.17,0.057,7.075,0.057,25.353,Good
MP Stoinis,AUS,30.21,147.13,0.191,2.5,0.364,0.045,7.455,0.045,44.448,Best
CJA Amini,PNG,23.91,115.28,0.117,1.977,0.186,0.116,10.488,0.093,27.563,Good
Sarfaraz Ali,BHR,24.52,155.3,0.25,3.622,0.081,0.054,4.432,0.135,38.08,Best
H Lakov,BUL,31.73,105.22,0.093,2.147,0.235,0.0,15.324,0.176,33.386,Best
BA Pai,GIBR,39.28,119.39,0.126,3.222,0.222,0.037,16.704,0.259,46.896,Best
JDS Neesham,NZ,21.68,158.15,0.207,1.929,0.321,0.107,5.393,0.0,34.287,Best
KIC Asalanka,SL,24.93,122.83,0.142,2.568,0.108,0.108,10.135,0.108,30.622,Best
L Bruce,GIBR,32.84,116.45,0.129,3.25,0.107,0.107,15.464,0.357,38.242,Best
Chirag Suri,UAE,29.17,115.39,0.144,3.29,0.097,0.065,12.032,0.226,33.659,Best
Mohammad Naim,BAN,23.97,103.42,0.118,2.657,0.029,0.057,11.686,0.114,24.79,Good
Taranjeet Singh,ROM,37.04,171.21,0.288,5.708,0.083,0.042,7.625,0.292,63.416,Best
Iftikhar Ahmed,PAK,28.06,132.57,0.147,2.195,0.293,0.049,9.317,0.098,37.199,Best
F Damiao Couana,MOZ,31.0,125.15,0.172,3.828,0.103,0.034,10.414,0.207,38.796,Best
CG Williams,NAM,27.75,112.9,0.129,2.788,0.121,0.091,11.848,0.182,31.33,Best
W Barresi,NED,22.82,114.96,0.129,2.195,0.146,0.073,9.683,0.098,26.234,Good
RG Mukasa,UGA,22.13,128.75,0.202,3.289,0.053,0.105,6.395,0.079,28.492,Good
AA Obanda,KENYA,18.53,118.95,0.187,2.66,0.085,0.128,5.255,0.064,22.041,Good
IA De Silva,BUL,24.84,115.21,0.158,3.206,0.059,0.088,8.382,0.176,28.618,Good
Misbah-ul-Haq,PAK,37.52,110.2,0.099,2.088,0.382,0.059,13.294,0.088,41.347,Best
Usman Ghani,AFG,25.35,107.23,0.132,2.853,0.088,0.0,10.471,0.118,27.183,Good
N Nipiko,VAN,35.63,125.84,0.159,3.536,0.214,0.036,11.286,0.25,44.837,Best
V Aravind,UAE,27.0,117.56,0.144,3.0,0.094,0.062,11.281,0.125,31.741,Best
B Arora,MLT,20.6,90.52,0.105,2.068,0.136,0.045,8.659,0.068,18.647,Average
RR Rossouw,SA,34.86,159.79,0.225,4.0,0.185,0.185,9.519,0.259,55.703,Best
LJ Wright,ENG,18.97,137.0,0.179,2.2,0.111,0.2,6.689,0.089,25.989,Good
Kamran Khan,QAT,26.13,135.59,0.197,3.667,0.033,0.033,7.467,0.167,35.43,Best
S Chandramohan,SGP,23.62,118.3,0.161,3.121,0.03,0.121,8.364,0.152,27.942,Good
DJ Hussey,AUS,22.9,121.34,0.12,2.083,0.083,0.111,10.778,0.083,27.787,Good
NS Dhaliwal,CAN,44.0,134.53,0.165,4.182,0.227,0.0,14.0,0.273,59.193,Best
S Wickramasekara,CZK-R,27.7,149.89,0.202,3.061,0.182,0.091,7.636,0.242,41.52,Best
MD Gunathilaka,SL,16.46,120.48,0.161,2.2,0.0,0.089,6.733,0.067,19.831,Average
AD Russell,WI,19.5,156.0,0.219,1.825,0.333,0.158,3.526,0.018,30.42,Best
FH Allen,NZ,23.09,159.26,0.246,3.562,0.0,0.062,6.031,0.156,36.773,Best
DM de Silva,SL,20.88,117.71,0.124,2.026,0.079,0.053,10.289,0.079,24.578,Good
Zeeshan Khan,MLT,22.68,121.2,0.17,3.091,0.03,0.091,8.606,0.121,27.488,Good
Sami Sohail,MWI,72.5,119.83,0.122,3.364,0.545,0.045,18.318,0.227,86.877,Best
Faheem Nazir,SUI,65.81,153.06,0.216,7.286,0.214,0.0,19.0,0.714,100.729,Best
MEK Hussey,AUS,37.94,136.29,0.157,2.767,0.367,0.033,11.3,0.133,51.708,Best
TC Barker,LUX,21.78,122.27,0.145,2.5,0.029,0.147,10.206,0.088,26.63,Good
SJ Baard,NAM,28.56,112.97,0.125,2.821,0.107,0.036,12.929,0.179,32.264,Best
RS Bopara,ENG,28.44,118.69,0.119,2.029,0.286,0.0,11.229,0.086,33.755,Best
H Klaasen,SA,23.66,148.22,0.188,2.432,0.189,0.027,7.73,0.108,35.069,Best
MK Pandey,IND,44.31,126.15,0.121,2.061,0.515,0.061,12.091,0.091,55.897,Best
Aqib Ilyas,OMA,28.24,124.07,0.17,3.233,0.167,0.067,9.333,0.167,35.037,Best
CK Kapugedera,SL,22.67,118.95,0.14,2.184,0.184,0.0,8.447,0.026,26.966,Good
S Bau,PNG,22.45,108.41,0.106,1.889,0.139,0.111,10.389,0.028,24.338,Good
Manpreet Singh,SGP,25.51,126.19,0.121,2.2,0.1,0.033,12.567,0.1,32.191,Best
Saber Zakhil,Belg,32.71,170.04,0.228,3.68,0.16,0.08,8.2,0.16,55.62,Best
KD Karthik,IND,26.38,142.61,0.206,2.062,0.458,0.062,4.875,0.021,37.621,Best
RW Chakabva,ZIM,14.51,122.44,0.154,1.755,0.041,0.224,5.796,0.0,17.766,Average
DM Nakrani,UGA,29.3,127.16,0.166,2.378,0.378,0.027,6.324,0.054,37.258,Best
N Vanua,PNG,21.06,143.4,0.164,1.833,0.238,0.167,6.524,0.071,30.2,Best
K Nassoro,TAN,21.7,104.82,0.12,1.833,0.262,0.071,8.119,0.048,22.746,Good
L Siaka,PNG,16.36,112.2,0.117,1.556,0.089,0.156,7.756,0.0,18.356,Average
T Bavuma,SA,21.61,118.16,0.138,2.229,0.114,0.171,9.314,0.029,25.534,Good
DMW Rawlins,BMUDA,37.22,151.92,0.211,4.227,0.182,0.045,9.636,0.227,56.545,Best
KC D'Souza,BUL,27.87,154.86,0.201,2.636,0.273,0.091,7.061,0.061,43.159,Best
CJ Chibhabha,ZIM,19.05,109.52,0.149,2.6,0.0,0.114,7.914,0.143,20.864,Good
JH Kallis,SA,35.05,119.35,0.136,3.304,0.174,0.0,14.0,0.217,41.832,Best
V Saini,ROM,33.15,129.74,0.139,2.448,0.31,0.069,11.621,0.103,43.009,Best
TLW Cooper,NED,23.53,129.46,0.165,2.625,0.125,0.094,8.719,0.094,30.462,Best
LA Dunbar,SRB,47.07,151.49,0.23,5.0,0.3,0.15,8.05,0.35,71.306,Best
V Vijh,LUX,22.68,103.94,0.103,1.857,0.171,0.086,10.229,0.057,23.574,Good
C Campher,IRE,24.33,129.33,0.142,2.118,0.206,0.059,9.676,0.088,31.466,Best
A Ashokan,CZK-R,27.29,112.93,0.098,1.9,0.2,0.0,12.5,0.1,30.819,Best
RB Patel,UGA,29.63,109.03,0.135,2.793,0.241,0.103,10.759,0.103,32.306,Best
Meet Bhavsar,KUW,25.68,128.91,0.155,2.75,0.107,0.107,10.286,0.143,33.104,Best
DJM Short,AUS,30.57,118.88,0.159,3.739,0.087,0.043,11.652,0.174,36.342,Best
PW Borren,NED,19.33,121.75,0.149,2.053,0.132,0.053,7.632,0.026,23.534,Good
J Mees,LUX,22.78,119.47,0.154,2.562,0.125,0.094,8.5,0.094,27.215,Good
D Ramdin,WI,18.7,115.42,0.127,1.4,0.32,0.06,6.36,0.02,21.584,Good
ST Jayasuriya,SL,23.29,129.15,0.203,3.3,0.1,0.133,6.233,0.133,30.079,Best
KS Leverock,BMUDA,31.45,146.27,0.207,3.708,0.167,0.167,8.542,0.167,46.002,Best
G Mckeon,Fran,62.9,161.28,0.226,8.0,0.091,0.091,19.182,0.727,101.445,Best
Haider Butt,BHR,23.22,112.36,0.106,1.735,0.206,0.059,10.029,0.029,26.09,Good
Khawar Ali,OMA,19.56,98.58,0.129,2.343,0.086,0.057,7.657,0.057,19.282,Average
Sohail Ahmed,BHR,52.08,129.13,0.145,3.889,0.333,0.056,16.167,0.333,67.251,Best
MR Swart,NED,27.0,115.64,0.128,2.76,0.08,0.04,12.52,0.16,31.223,Best
Gulbadin Naib,AFG,18.08,118.95,0.139,1.532,0.277,0.106,5.809,0.021,21.506,Good
K Waiswa,UGA,16.62,110.81,0.137,1.767,0.14,0.14,6.488,0.023,18.417,Average
SA Edwards,NED,21.17,121.1,0.132,1.523,0.341,0.045,7.364,0.0,25.637,Good
R Nehonde,BOT,23.61,97.3,0.095,1.935,0.161,0.032,11.29,0.065,22.973,Good
MN Waller,ZIM,26.65,138.37,0.158,2.258,0.258,0.065,8.935,0.032,36.876,Best
J Bulele,MOZ,24.48,93.57,0.124,3.0,0.074,0.074,10.519,0.148,22.906,Good
BFW de Leede,NED,30.5,105.9,0.109,2.25,0.286,0.107,11.5,0.143,32.3,Best
Imran Anwar,BHR,21.6,130.66,0.173,2.424,0.152,0.091,6.152,0.091,28.223,Good
NG Collins,Fin,26.26,98.69,0.098,2.5,0.042,0.0,14.5,0.167,25.916,Good
NA Greenwood,JER,30.0,144.23,0.204,3.864,0.091,0.091,10.455,0.091,43.269,Best
Salman Butt,PAK,28.33,107.98,0.138,3.304,0.087,0.043,11.783,0.13,30.591,Best
PM Seelaar,NED,17.38,111.09,0.103,1.196,0.261,0.022,7.543,0.022,19.307,Average
Yasir Ali,ESP,29.5,103.5,0.109,2.385,0.231,0.115,11.385,0.115,30.532,Best
Ravinderpal Singh,CAN,28.04,147.25,0.185,3.083,0.125,0.042,9.625,0.125,41.289,Best
J Butler,GUE,26.72,102.26,0.111,2.667,0.083,0.042,12.833,0.125,27.324,Good
DJG Sammy,WI,17.26,147.48,0.191,1.462,0.346,0.058,4.25,0.0,25.455,Good
RN Patel,KENYA,22.53,121.07,0.153,2.312,0.188,0.125,8.312,0.031,27.277,Good
BA Stokes,ENG,21.66,128.0,0.14,1.778,0.25,0.028,7.917,0.028,27.725,Good
HL Carlyon,JER,20.82,108.36,0.147,2.724,0.034,0.103,8.586,0.103,22.561,Good
PD Collingwood,ENG,18.8,127.01,0.133,1.848,0.061,0.091,8.818,0.091,23.878,Good
DR Smith,WI,18.18,122.78,0.196,2.906,0.0,0.031,4.625,0.094,22.321,Good
MA Leask,SCOT,16.05,131.96,0.164,1.674,0.163,0.093,5.488,0.023,21.18,Good
Saim Hussain,BUL,38.53,146.7,0.195,4.529,0.118,0.059,12.824,0.353,56.524,Best
SB Styris,NZ,21.4,119.66,0.135,2.241,0.069,0.0,9.241,0.034,25.607,Good
VB Chikkannaiah,GER,23.0,100.7,0.107,2.259,0.074,0.037,11.222,0.148,23.161,Good
K Bhurtel,NEP,47.75,129.34,0.178,4.938,0.25,0.0,13.438,0.438,61.76,Best
JA Morkel,SA,21.18,142.28,0.169,1.789,0.289,0.026,5.842,0.0,30.135,Best
MJ Santner,NZ,16.25,124.23,0.133,0.984,0.435,0.081,4.661,0.016,20.187,Good
Shadab Khan,PAK,18.96,137.77,0.16,1.535,0.302,0.07,5.791,0.023,26.121,Good
SR Taylor,USA,43.69,144.89,0.222,5.438,0.188,0.062,11.0,0.312,63.302,Best
Najmul Hossain Shanto,BAN,26.95,111.41,0.116,2.36,0.16,0.0,12.64,0.12,30.025,Best
JJ Smit,NAM,33.17,147.64,0.173,2.444,0.37,0.037,8.593,0.074,48.972,Best
Basil George,MLT,23.45,129.72,0.164,2.84,0.04,0.0,8.76,0.12,30.419,Best
SA Ahmad,DEN,26.47,108.59,0.123,2.52,0.16,0.0,11.28,0.12,28.744,Good
V Ganesan,GER,19.06,105.53,0.109,1.541,0.216,0.0,8.73,0.054,20.114,Good
MJ Lumb,ENG,21.23,133.65,0.206,3.148,0.037,0.037,6.296,0.111,28.374,Good
KR Mayers,WI,20.37,137.15,0.224,3.214,0.036,0.0,4.429,0.107,27.937,Good
TS Bharaj,DEN,23.82,116.59,0.115,2.16,0.08,0.04,12.24,0.2,27.772,Good
Asif Ali,PAK,15.11,133.99,0.148,1.224,0.265,0.082,4.816,0.0,20.246,Good
C Rubagumya,RWN,13.21,85.62,0.058,0.787,0.128,0.149,8.043,0.0,11.31,Average
MR Adair,IRE,14.23,122.67,0.134,1.204,0.224,0.082,5.163,0.02,17.456,Average
HS Gericke,MLT,27.05,163.93,0.206,3.4,0.0,0.0,11.25,0.2,44.343,Best
Karim Sadiq,AFG,14.94,109.12,0.144,1.972,0.0,0.111,6.5,0.028,16.303,Average
SSM Stanislaus,MLT,19.92,104.26,0.11,1.839,0.129,0.032,8.581,0.032,20.769,Good
Aizaz Khan,HKG,14.83,106.37,0.104,1.13,0.217,0.087,6.609,0.0,15.775,Average
PWH de Silva,SL,14.02,123.95,0.144,1.265,0.224,0.082,5.49,0.02,17.378,Average
RN ten Doeschate,NED,41.0,132.91,0.115,2.0,0.435,0.087,13.522,0.13,54.493,Best
Iqbal Hossain,Aut,25.33,162.19,0.265,4.143,0.0,0.143,5.143,0.143,41.083,Best
Talha Khan,GER,23.13,103.5,0.107,1.964,0.179,0.143,10.286,0.107,23.94,Good
Ibrahim Zadran,AFG,26.5,102.71,0.105,2.25,0.167,0.0,12.0,0.083,27.218,Good
C Kieswetter,ENG,21.91,111.91,0.149,2.8,0.04,0.08,8.0,0.12,24.519,Good
