name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
KC Ramamoorthy,INA,6.57,65.71,0.071,0.714,0.0,0.286,3.714,0.0,4.317,Poor
JJ van der Wath,SA,15.33,117.94,0.103,1.0,0.25,0.0,7.0,0.0,18.08,Poor
Abdullah Jasat,PNM,6.42,115.38,0.154,0.75,0.125,0.25,2.125,0.0,7.407,Poor
L Gregory,ENG,7.5,109.75,0.098,0.571,0.143,0.143,3.571,0.0,8.231,Poor
J Henry,STHEL,9.0,100.0,0.067,0.6,0.0,0.0,5.8,0.0,9.0,Poor
J Jojo,DEN,11.25,136.36,0.091,0.375,0.5,0.125,3.875,0.0,15.341,Poor
TE Kane,IRE,15.0,132.35,0.176,1.5,0.25,0.0,5.25,0.0,19.852,Poor
FJ Klaassen,NED,4.5,84.9,0.038,0.133,0.333,0.267,2.467,0.0,3.82,Poor
AR Leo,STHEL,9.0,75.0,0.05,0.6,0.0,0.2,6.6,0.0,6.75,Poor
NJ Maddinson,AUS,11.25,128.57,0.2,1.75,0.0,0.0,3.75,0.0,14.464,Poor
A Manepalli,LUX,9.0,91.83,0.061,0.5,0.167,0.0,5.167,0.0,8.265,Poor
Mohammad Wasim,PAK,11.25,90.0,0.12,0.6,0.6,0.1,1.9,0.0,10.125,Poor
JWN Moses,BOT,7.5,90.0,0.1,0.833,0.0,0.0,3.833,0.0,6.75,Poor
JA Richardson,AUS,15.0,88.23,0.078,0.5,0.625,0.125,3.375,0.0,13.234,Poor
Saeed Ahmed,SWE,11.25,97.82,0.109,1.25,0.0,0.25,5.25,0.0,11.005,Poor
A Sharafu,UAE,11.25,107.14,0.095,0.667,0.333,0.0,3.833,0.0,12.053,Poor
K Suttisan,THAI,11.25,81.81,0.091,1.25,0.0,0.25,6.25,0.0,9.204,Poor
Yasar Haroon,BRA,11.25,72.58,0.081,1.25,0.0,0.0,5.75,0.0,8.165,Poor
Aryan Lakra,UAE,8.8,95.65,0.087,0.8,0.0,0.0,4.8,0.0,8.417,Poor
Atif Kamal,LUX,5.5,75.86,0.052,0.3,0.2,0.4,3.0,0.0,4.172,Poor
Atif Mehmood,ESP,22.0,100.0,0.091,0.571,0.714,0.0,3.429,0.0,22.0,Poor
A Conteh,GAMBI,6.28,57.89,0.053,0.571,0.0,0.143,4.0,0.0,3.635,Poor
JM Davison,CAN,8.8,110.0,0.125,1.0,0.0,0.4,3.6,0.0,9.68,Poor
Huzaifa Mohammed,PHI,22.0,63.76,0.029,0.333,0.667,0.0,6.0,0.0,14.027,Poor
Ismat Ullah,BRA,11.0,93.61,0.106,1.25,0.0,0.25,5.5,0.0,10.297,Poor
Muhammad Murad,QAT,11.0,95.65,0.087,0.667,0.333,0.167,3.333,0.0,10.522,Poor
Omar Hussain,LES,7.33,81.48,0.093,0.833,0.0,0.333,3.667,0.0,5.972,Poor
P Arrighi,Arg,7.16,55.84,0.013,0.167,0.0,0.167,6.5,0.0,3.998,Poor
S Badree,WI,7.16,66.15,0.031,0.125,0.625,0.0,2.062,0.0,4.736,Poor
TL Chatara,ZIM,7.16,72.88,0.034,0.167,0.5,0.167,2.917,0.0,5.218,Poor
TS Chisoro,ZIM,10.75,91.48,0.085,0.571,0.429,0.0,3.286,0.0,9.834,Poor
L Karlsson,SWE,8.6,95.55,0.089,0.571,0.286,0.143,3.571,0.0,8.217,Poor
NO Miller,WI,43.0,91.48,0.043,0.4,0.8,0.0,7.0,0.0,39.336,Poor
SE Rutherford,WI,10.75,119.44,0.111,1.0,0.0,0.0,5.25,0.0,12.84,Poor
Sajad Ahmadzai,Belg,8.6,122.85,0.143,0.714,0.286,0.143,2.429,0.0,10.565,Poor
DV Varghese,BUL,7.16,68.25,0.032,0.182,0.455,0.091,3.182,0.0,4.887,Poor
Amjad Ali,UAE,10.5,80.76,0.115,1.2,0.2,0.0,3.6,0.0,8.48,Poor
Asad Ali Rehemtulla,BUL,6.0,76.36,0.055,0.273,0.364,0.273,2.727,0.0,4.582,Poor
F Baaleri,Ghana,10.5,70.0,0.1,1.5,0.0,0.0,4.5,0.0,7.35,Poor
J Chaturanga,BHR,10.5,100.0,0.143,1.5,0.0,0.25,4.0,0.0,10.5,Poor
M Cope,LUX,14.0,93.33,0.111,0.714,0.571,0.0,3.143,0.0,13.066,Poor
H Fennell,Arg,6.0,95.45,0.159,0.7,0.3,0.4,1.2,0.0,5.727,Poor
SP Guzman,PNM,8.4,80.76,0.135,1.4,0.0,0.0,2.4,0.0,6.784,Poor
J Hill,PHI,6.0,57.53,0.041,0.375,0.125,0.125,3.75,0.0,3.452,Poor
NG Jones,IRE,21.0,110.52,0.079,0.75,0.5,0.25,6.5,0.0,23.209,Poor
Muaviath Ganee,MDV,10.5,95.45,0.091,1.0,0.0,0.0,6.0,0.0,10.022,Poor
Nasrulla Rana,HKG,6.0,68.85,0.033,0.2,0.3,0.3,3.0,0.0,4.131,Poor
LE Plunkett,ENG,6.0,123.52,0.118,0.364,0.364,0.273,2.182,0.0,7.411,Poor
AT Rayudu,IND,10.5,84.0,0.1,1.0,0.2,0.4,4.4,0.0,8.82,Poor
M Sert,TKY,14.0,71.18,0.085,1.25,0.25,0.0,5.5,0.0,9.965,Poor
Abdur Razzak,BAN,4.1,55.4,0.014,0.05,0.5,0.25,1.85,0.0,2.271,Poor
P Dhiman,ESP,10.25,74.54,0.018,0.25,0.0,0.0,8.75,0.0,7.64,Poor
B Evans,ZIM,10.25,102.5,0.05,0.333,0.333,0.0,5.167,0.0,10.506,Poor
E Jabarkhel,LUX,6.83,89.13,0.109,0.625,0.25,0.125,2.625,0.0,6.088,Poor
K Jethi,CAN,10.25,69.49,0.034,0.4,0.2,0.2,5.8,0.0,7.123,Poor
D Marsic,CRT,10.25,55.4,0.054,1.0,0.0,0.25,5.75,0.0,5.679,Poor
ZE Matsinhe,MOZ,6.83,67.21,0.066,0.5,0.25,0.125,2.875,0.0,4.59,Poor
D Sheeli,KUW,8.2,95.34,0.116,1.0,0.0,0.0,4.2,0.0,7.818,Poor
Tahir Patel,SWZ,8.2,53.94,0.066,0.833,0.167,0.0,3.5,0.0,4.423,Poor
Walter Behr,GER,10.25,107.89,0.105,0.8,0.2,0.0,4.2,0.0,11.059,Poor
Sarfraz Butt,KSA,10.25,85.41,0.062,0.6,0.2,0.0,5.8,0.0,8.755,Poor
Amir Hamza,AFG,10.0,105.26,0.105,0.444,0.556,0.111,2.444,0.0,10.526,Poor
BCJ Cutting,AUS,10.0,148.14,0.185,1.0,0.2,0.2,2.8,0.0,14.814,Poor
J Jemison,Bhm,6.66,61.53,0.015,0.143,0.143,0.286,5.143,0.0,4.098,Poor
P Malav,LUX,5.71,76.92,0.058,0.273,0.364,0.182,2.545,0.0,4.392,Poor
S Rakshit,CZK-R,10.0,90.9,0.136,1.2,0.2,0.2,2.8,0.0,9.09,Poor
N Senamontree,THAI,10.0,60.6,0.0,0.0,0.429,0.143,5.714,0.0,6.06,Poor
Tariq Aziz,PORT,13.33,85.1,0.064,0.75,0.25,0.25,6.0,0.0,11.344,Poor
S Udhayan,SEY,8.0,117.64,0.147,0.833,0.167,0.333,2.667,0.0,9.411,Poor
Umair Tariq,Aut,6.66,81.63,0.041,0.286,0.143,0.0,4.286,0.0,5.437,Poor
P Useni,NGA,13.33,102.56,0.103,0.364,0.727,0.0,2.0,0.0,13.671,Poor
