name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,RwoB_index,big_match_index,prelim_metric,prelim_rank,kmeans_role,rbml_score,pca_score
AC Kose,TKY,3.75,45.45,0.091,0.75,0.0,0.75,0.0,1.704,Poor,SB,0.496,-0.129
E Kubwimana,RWN,1.87,48.38,0.0,0.0,0.273,1.364,0.0,0.905,Poor,SB,0.485,-0.168
P Kumbhare,JPN,3.75,57.69,0.0,0.0,0.5,1.875,0.0,2.163,Poor,SB,0.493,-0.142
ME Leoela,LES,7.5,46.87,0.0,0.0,0.667,2.5,0.0,3.515,Poor,FL,0.486,-0.046
RW Price,ZIM,3.0,53.57,0.036,0.111,0.444,1.222,0.0,1.607,Poor,SB,0.489,-0.153
R Rampaul,WI,7.5,51.72,0.0,0.0,0.714,2.143,0.0,3.879,Poor,FL,0.48,-0.065
Rizwan Mangera,PNM,5.0,40.54,0.054,0.5,0.25,1.75,0.0,2.027,Poor,SB,0.51,-0.083
AO Suji,KENYA,5.0,51.72,0.0,0.0,0.4,3.0,0.0,2.586,Poor,SB,0.504,-0.105
BM Dlamini,SWZ,2.8,53.84,0.115,0.6,0.0,0.4,0.0,1.508,Poor,SB,0.487,-0.161
G Dutta,Mex,2.33,50.0,0.036,0.167,0.0,1.667,0.0,1.165,Poor,SB,0.488,-0.158
I Ntirenganya,RWN,2.33,37.83,0.0,0.0,0.571,1.0,0.0,0.881,Poor,SB,0.491,-0.147
VD Philander,SA,3.5,50.0,0.0,0.0,0.0,3.5,0.0,1.75,Poor,SB,0.498,-0.125
Saqlain Haider,UAE,3.5,40.0,0.0,0.0,0.2,2.8,0.0,1.4,Poor,SB,0.502,-0.109
SP Gauchan,NEP,4.33,30.23,0.0,0.0,0.4,2.6,0.0,1.309,Poor,FL,0.482,-0.053
H Lin Oo,MYAN,13.0,43.33,0.0,0.0,0.75,3.25,0.0,5.633,Poor,F,0.531,0.086
KK Lin Thu,MYAN,3.25,32.5,0.025,0.25,0.0,2.25,0.0,1.056,Poor,SB,0.506,-0.098
AL Stephen,VAN,3.25,40.62,0.0,0.0,0.2,2.6,0.0,1.32,Poor,SB,0.501,-0.118
F Clarke,IOM,4.0,41.37,0.034,0.2,0.4,1.2,0.0,1.655,Poor,SB,0.501,-0.113
MS Diawara,Mali,2.4,37.5,0.0,0.0,0.0,2.4,0.0,0.9,Poor,SB,0.496,-0.133
H Helva,TKY,3.0,48.0,0.08,0.5,0.0,1.0,0.0,1.44,Poor,SB,0.491,-0.147
SR Rocket,SEY,2.4,46.15,0.038,0.167,0.167,1.333,0.0,1.108,Poor,SB,0.488,-0.155
Apon Mustafizur,SRB,2.75,29.72,0.054,0.5,0.0,0.75,0.0,0.817,Poor,SB,0.5,-0.118
S Kubheka,SWA/SWZ,3.66,44.0,0.04,0.167,0.5,1.167,0.0,1.61,Poor,SB,0.497,-0.126
W Uisuk,THAI,2.75,27.5,0.025,0.25,0.0,1.75,0.0,0.756,Poor,SB,0.506,-0.099
Pavandeep Singh,MAL,5.0,38.46,0.0,0.0,0.8,1.0,0.0,1.923,Poor,SB,0.509,-0.082
A Magdalenic,CRT,1.8,25.71,0.029,0.2,0.0,1.0,0.0,0.463,Poor,SB,0.496,-0.133
A Maheshwari,CRT,1.8,36.0,0.0,0.0,0.0,1.8,0.0,0.648,Poor,SB,0.49,-0.15
T Shamsi,SA,1.8,34.61,0.0,0.0,0.615,0.692,0.0,0.623,Poor,SB,0.487,-0.158
AR Balla,CAM,1.14,23.52,0.0,0.0,0.125,1.0,0.0,0.268,Poor,SB,0.489,-0.155
Xie Kunkun,CHN,2.0,22.22,0.0,0.0,0.0,2.0,0.0,0.444,Poor,SB,0.505,-0.101
P Bhart,NOR,2.5,20.0,0.0,0.0,0.5,1.25,0.0,0.5,Poor,FL,0.475,-0.077
Khin Aye,MYAN,0.75,10.34,0.0,0.0,0.0,0.75,0.0,0.078,Poor,SB,0.499,-0.123
